,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
124,Oliver Kirch,Borussia Dortmund,33,M(C),5(1),434,-,1,-,-,1,83,0.7,-,7.05,1.8,1.3,1.2,0.2,1.7,1,0.2,-,1,1.3,0.5,0.2,-,0.3,63.7,0.5,5.2,0.2,Bundesliga,2014/2015
125,Daniel Brückner,Paderborn,34,D(L),23,2023,-,1,5,-,0.3,75,1.1,-,7.05,2.4,2.5,1.2,0.2,2.3,1.3,0.2,-,0.8,2,1.3,0.2,0.7,0.9,35.4,0.3,2.2,-,Bundesliga,2014/2015
126,Felipe Santana,Schalke,29,DMC,3(1),306,-,-,-,-,0.8,73.8,4,-,7.05,1.3,1.3,0.3,1,5.5,0.3,0.3,-,0.8,-,0.5,0.3,-,-,36.3,0.3,2.5,-,Bundesliga,2014/2015
127,Johan Djourou,Hamburg,28,D(C),32,2805,-,-,4,1,0.2,83.8,4.3,1,7.05,1.7,1.9,1.4,0.7,6.6,0.4,0.8,-,0.3,0.5,0.9,-,0.3,0.3,43.4,-,3.8,-,Bundesliga,2014/2015
128,Shinji Okazaki,Mainz,29,FW,31(1),2788,12,3,4,-,1.8,71.2,3.3,2,7.04,0.8,0.4,1.6,-,0.2,0.7,0.2,-,0.8,1.2,2.4,1.5,2.4,1.8,18.3,0.1,0.4,-,Bundesliga,2014/2015
129,Koo Ja-Cheol,Mainz,26,M(CLR),16(7),1487,5,1,3,-,1.5,76.2,3.9,1,7.04,1.3,1,1.8,-,0.7,0.6,-,-,0.6,1.8,1.6,0.1,2,1.6,28.3,0.1,1,0.1,Bundesliga,2014/2015
130,Marc Stendera,Eintracht Frankfurt,20,M(C),21(5),1849,3,5,6,-,0.9,71.4,1,-,7.04,3,1.1,1.8,-,0.5,2.7,0.1,-,1.2,1.3,1.4,-,1.4,1.2,32.1,0.5,1.8,0.2,Bundesliga,2014/2015
131,Sead Kolasinac,Schalke,22,M(L),6,454,-,-,2,-,0.7,79.3,2.8,-,7.04,3,1.2,1,0.3,3,0.8,-,-,0.7,0.8,0.3,0.2,0.3,0.5,35.5,0.2,1.2,-,Bundesliga,2014/2015
132,John Brooks,Hertha Berlin,22,D(C),24(3),2186,1,-,5,-,0.6,75.2,3.6,2,7.03,1.4,2.9,1,0.6,5.9,0.4,0.4,1,-,0.5,0.7,-,0.3,0.5,35.4,-,4.1,-,Bundesliga,2014/2015
133,Tobias Strobl,Hoffenheim,25,DMC,26(4),2440,-,1,6,-,0.2,82.1,3.1,1,7.02,2.4,2.8,1.2,0.3,4,1.2,0.5,-,0.3,0.4,0.9,-,0.2,0.2,40.3,0.1,3.9,-,Bundesliga,2014/2015
134,Sebastian Prödl,Werder Bremen,28,D(C),20(2),1742,3,1,5,-,0.9,70.9,3.9,1,7.02,1.2,2.5,1.8,0.5,5.6,0.8,0.6,-,0.2,-,0.7,-,-,0.2,29.2,-,3.9,-,Bundesliga,2014/2015
135,Pierre-Emile Højbjerg,Augsburg,20,M(C),10(6),1008,2,3,4,-,1.7,80.1,1.8,1,7.02,1.4,1.1,1.4,-,0.6,1.1,0.1,-,1.2,1.6,1.2,-,1.4,1.1,34.5,0.3,2.9,0.1,Bundesliga,2014/2015
136,Júnior Díaz,Mainz,32,D(CL),17(2),1434,1,1,4,-,0.8,72.9,3.9,1,7.01,1.8,1.8,1.7,0.2,2.9,0.9,0.7,-,0.5,0.6,0.8,0.1,0.7,0.7,35.8,0.4,2.8,-,Bundesliga,2014/2015
137,Martin Harnik,Stuttgart,28,FW,26(2),2246,9,2,1,2,1.9,66.6,4.1,1,7.01,1.2,0.8,1.1,0.1,1.4,1.9,0.1,-,0.6,1.1,1.5,0.5,1.1,1.8,27.7,0.1,0.8,-,Bundesliga,2014/2015
138,Mitchell Weiser,Bayern,21,M(R),8(5),778,1,4,2,-,0.5,81,0.8,1,7.00,1.5,0.8,1.3,0.2,0.4,0.8,-,-,0.8,2.1,1.2,0.2,0.8,0.6,28.4,0.5,0.5,-,Bundesliga,2014/2015
139,Joël Matip,Schalke,24,D(C),17(4),1546,2,-,2,1,0.8,81.6,3.1,-,7.00,1.8,1.9,1.5,0.9,4.1,0.3,0.7,-,0.2,0.2,1,0.1,0.1,0.2,37.8,-,3.5,-,Bundesliga,2014/2015
140,Assani Lukimya,Werder Bremen,29,D(C),18(4),1744,2,2,1,-,0.6,64.7,3.4,-,7.00,2.6,1.9,1.5,1,5.2,0.7,1,-,0.5,0.6,0.4,0.1,-,0.3,29.5,-,3.3,-,Bundesliga,2014/2015
141,Oscar Wendt,Borussia M.Gladbach,30,M(L),25(1),2295,2,1,4,-,0.3,82.8,1,1,6.99,1.3,2,0.6,0.3,2.2,0.9,0.3,-,0.5,0.9,0.5,0.1,0.3,1,51,0.2,1.8,-,Bundesliga,2014/2015
142,Daniel Schwaab,Stuttgart,27,DMC,27(4),2347,1,-,1,1,0.4,73.9,3.4,1,6.99,2.2,2.1,0.9,0.4,3.3,0.8,0.5,-,0.5,0.6,1,-,0.3,0.3,42.1,0.1,3.6,-,Bundesliga,2014/2015
143,Clemens Fritz,Werder Bremen,35,DMC,26(1),2255,-,2,4,1,0.6,63.9,1.4,1,6.99,3.1,2.1,1.2,0.2,1.4,1.3,0.2,-,0.4,1.5,2.4,-,1,0.9,28.4,0.1,2.3,-,Bundesliga,2014/2015
144,Stefan Mitrovic,Freiburg,25,D(C),13(1),1138,-,-,2,1,0.4,82.5,3.9,2,6.98,1.6,2.1,0.9,0.5,6.8,0.4,0.6,-,-,0.3,0.3,-,0.4,0.2,37.9,-,3.1,-,Bundesliga,2014/2015
145,Marco Höger,Schalke,26,M(C),26,2081,1,2,11,-,0.8,76.4,2.2,1,6.98,2,1.5,1.9,0.1,0.7,1.7,0.4,-,0.7,1.7,2,0.2,1.7,0.9,42.6,0.3,1.9,-,Bundesliga,2014/2015
146,Timothy Chandler,Eintracht Frankfurt,25,M(LR),25(4),2332,1,1,7,-,0.5,70.6,2.6,-,6.97,2.3,2.4,1.1,0.4,1.5,0.8,0.2,-,0.8,0.5,1.1,-,0.4,0.3,41.3,0.8,2.7,0.1,Bundesliga,2014/2015
147,Roman Neustädter,Schalke,27,M(C),28(1),2416,2,-,6,-,0.5,84.1,3.3,1,6.97,1.7,2.7,1.1,0.3,3.4,1.3,0.4,-,0.3,0.2,0.9,-,0.6,0.3,51.8,-,2.7,-,Bundesliga,2014/2015
148,Simon Rolfes,Leverkusen,33,M(C),13(11),1231,1,1,4,-,0.5,68.1,2.6,1,6.97,1.6,1.8,1,-,1.5,1.3,0.3,-,0.8,0.7,0.7,-,0.8,0.8,27.6,-,0.9,-,Bundesliga,2014/2015
149,Sebastian Boenisch,Leverkusen,28,D(CL),9(3),869,-,1,2,-,1.3,60.4,4,-,6.97,2.2,1.7,1.3,0.2,2.5,1.1,0.4,-,0.6,0.1,0.3,0.2,0.5,0.6,31.2,-,2.9,-,Bundesliga,2014/2015
