,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
312,Eduardo Salvio,Atletico,M(CR),5(8),562,2,1,2,-,1.1,72.3,0.1,1,6.71,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
313,Fernando,Malaga,M(CR),29(1),2193,5,2,5,-,1.7,72.4,0.6,-,6.71,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
314,Juan Carrizo,Real Zaragoza,GK,16,1440,-,-,1,-,-,50.4,0.1,-,6.71,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
315,Marcos,Real Valladolid,D(C),17(4),1510,-,1,3,1,0.1,71.5,1.1,-,6.70,36.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
316,José Crespo,Racing Santander,M(R),13,1090,-,2,5,1,-,67.4,1.2,-,6.70,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
317,Royston Ricky Drenthe,Real Madrid,M(CLR),3(5),282,-,1,2,-,0.6,84,0.1,-,6.70,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
318,Álex Bergantiños,Xerez,M(C),22(4),1992,-,2,3,-,0.5,76.3,0.8,-,6.70,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
319,Luis Morán,Sporting Gijon,M(CR),21(7),1844,4,1,1,-,0.7,72.8,0.2,1,6.70,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
320,Victor Obinna,Malaga,FW,16(10),1615,4,2,7,1,2.3,72.7,0.7,-,6.70,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
321,Diego López,Villarreal,GK,38,3420,-,-,3,-,-,40.2,0.1,-,6.70,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
322,Romaric,Sevilla,M(C),10(9),863,1,1,4,1,1,80.8,0.9,-,6.70,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
323,Oriol,Racing Santander,DMC,15(4),1441,-,-,4,2,0.1,73,0.7,1,6.70,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
324,Fabián Orellana,Xerez,AM(CLR),20(6),1813,2,5,3,2,1,70.4,0.3,1,6.69,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
325,Miguel Torres,Getafe,D(CLR),22(4),2096,-,1,5,1,0.3,80,0.8,1,6.69,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
326,Nikola Zigic,Valencia,FW,5(8),558,4,1,7,1,1.7,63.1,1.9,1,6.69,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
327,Aythami Artiles,Xerez,D(C),29(1),2611,2,-,9,-,0.3,71.2,1.1,-,6.69,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
328,Toño,Racing Santander,GK,16,1421,-,-,-,-,-,48,-,-,6.69,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
329,Ander Iturraspe,Athletic Bilbao,M(C),11(4),883,-,-,4,-,0.3,79.2,0.8,-,6.68,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
330,Momo,Xerez,AM(LR),22(4),1793,2,7,2,-,1.2,81.1,0.3,-,6.68,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
331,Raúl García,Atletico,FW,12(8),1040,-,2,3,1,0.7,69,1,-,6.68,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
332,Alexis Ruano,Valencia,D(CLR),21(3),1907,1,-,7,1,0.5,81.2,1.6,1,6.68,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
333,Abel Aguilar,Real Zaragoza,M(C),20(7),1685,4,1,9,-,1,73.4,1.4,1,6.67,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
334,Corona,Almeria,M(C),13(9),1222,1,2,3,-,1,76.7,0.2,-,6.67,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
335,Jesús Mendoza,Xerez,D(CL),12,914,-,-,1,1,0.3,72.2,0.6,-,6.67,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
336,Ricardo,Osasuna,GK,36,3240,-,-,4,-,-,39.8,0.1,-,6.66,38.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
337,Emiliano Armenteros,Xerez,AM(CLR),16(9),1595,4,1,3,1,1.1,74.4,0.4,-,6.66,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
338,Sidi Keita,Xerez,M(CR),24,1856,-,-,7,2,1,75,1.4,-,6.66,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
339,Sergio Álvarez,Sporting Gijon,M(C),1,90,-,-,-,-,-,77.6,-,-,6.66,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
340,Adrián Colunga,Real Zaragoza,FW,7(9),845,7,-,2,1,1.6,66.3,0.1,-,6.66,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
341,Mané,Getafe,D(L),35,3063,1,-,10,-,0.3,78.9,0.2,-,6.66,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
342,Iván Hernández,Sporting Gijon,DMC,7(3),667,-,-,1,-,0.1,67.1,1.3,-,6.65,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
343,Juan Valera,Atletico,D(R),19(4),1616,-,3,2,-,0.5,76.3,1.1,-,6.65,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
344,Justo Villar,Real Valladolid,GK,23,2006,-,-,1,1,-,48.1,0.1,1,6.65,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
345,Maxi Rodríguez,Atletico,FW,9(5),765,2,-,2,-,1.6,80.9,0.4,-,6.65,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
346,Leandro Gioda,Xerez,D(CL),28(1),2516,2,1,5,1,0.6,63.4,1.6,2,6.65,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
347,Valdo,Malaga,FW,10(9),1080,2,1,5,-,1,64.3,1.7,-,6.65,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
348,Josetxo,Osasuna,DMC,18(1),1665,-,-,7,-,0.2,67.6,1.8,-,6.65,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
349,David Barral,Sporting Gijon,FW,23(10),2003,4,-,10,1,2.4,69.7,1.5,-,6.65,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
350,Rafael Márquez,Barcelona,D(C),7(8),763,1,1,2,1,0.9,85.7,0.4,-,6.64,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
351,Juan Forlín,Espanyol,M(C),23(1),2019,2,-,11,1,0.5,75.4,1,1,6.64,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
352,Carlos Bellvis,Tenerife,D(L),15,1293,-,-,5,-,0.5,76.2,1.1,1,6.63,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
353,Pablo Pinillos,Racing Santander,D(R),22(1),1923,-,-,8,-,0.1,73.6,0.8,-,6.63,36.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
354,Daniel Kome,Tenerife,M(C),19(10),1584,-,3,5,-,0.7,83.2,0.4,-,6.63,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
355,Javier Baraja,Real Valladolid,M(C),18(7),1648,2,-,5,-,0.7,71.8,0.8,-,6.63,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
356,Joel Johnson,Valencia,Midfielder,1,90,-,-,-,-,-,75.9,-,-,6.63,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
357,Robert Pires,Villarreal,AM(L),13(15),1281,4,1,4,-,0.9,81.8,0.3,1,6.63,37.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
358,Jeffrén Suárez,Barcelona,FW,6(6),406,2,-,1,-,0.4,86.3,-,-,6.63,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
359,Raúl Goni,Real Zaragoza,D(L),6,540,-,-,1,-,-,80.6,1.2,-,6.63,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
360,Mateo Musacchio,Villarreal,D(C),5(2),403,-,-,-,1,0.3,70.7,0.7,-,6.62,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
361,Jermaine Pennant,Real Zaragoza,M(R),13(12),1224,-,1,2,-,0.4,77,0.2,-,6.62,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
362,David Cortés,Getafe,D(R),19(1),1560,-,1,3,1,0.1,77.5,0.3,-,6.62,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
363,Dmytro Chygrynskiy,Barcelona,D(C),10(2),853,-,-,2,-,0.2,93.2,0.3,-,6.62,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
364,Sergio García,Real Valladolid,Midfielder,0(1),55,-,-,-,-,2,68.8,-,-,6.61,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
365,Sergio Aragoneses,Tenerife,GK,38,3420,-,-,3,-,-,39.5,0.2,-,6.61,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
366,Diego Capel,Sevilla,AM(L),14(15),1389,1,3,4,-,0.4,84.3,0.1,1,6.60,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
367,Ivan Obradovic,Real Zaragoza,D(L),6(3),561,-,1,2,-,-,71.8,0.8,-,6.60,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
368,Krisztian Vadócz,Osasuna,M(CR),11(9),1042,4,-,1,-,1,70.5,0.6,-,6.60,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
369,Álvaro Domínguez,Atletico,D(CL),26,2228,-,-,8,1,0.3,72.4,1.5,-,6.60,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
370,David Prieto,Xerez,DMC,20(1),1714,-,1,2,2,0.3,71.6,1.3,-,6.60,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
371,Fernando Marqués,Espanyol,M(CL),10(11),918,1,5,2,-,0.6,71.9,0.2,-,6.59,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
372,Cristian Portilla,Sporting Gijon,Midfielder,3(1),247,-,-,2,-,1.3,66.7,0.5,-,6.59,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
373,Ángel Lafita,Real Zaragoza,FW,17(7),1647,3,4,4,-,1.9,75.4,0.8,-,6.59,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
374,Laure,Deportivo,D(R),19(1),1717,-,1,5,-,0.2,75.7,0.8,-,6.59,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
375,Roberto Jiménez,Atletico,GK,3,270,-,-,-,-,-,40.3,-,-,6.59,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
376,Nasief Morris,Racing Santander,D(R),12,1007,1,-,5,1,0.5,74.7,1.2,-,6.59,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
377,Marius Stankevicius,Sevilla,DMC,14(2),1245,-,-,5,1,0.6,75.2,0.6,-,6.58,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
378,Raúl Baena,Espanyol,M(C),11(8),997,-,-,6,-,0.6,80.2,0.8,-,6.58,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
379,Pierre Webó,Mallorca,FW,12(19),1183,6,3,3,-,1.1,60.4,1.7,1,6.58,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
380,Juanito,Malaga,M(CR),25(5),2158,-,-,9,-,0.2,71.1,1,-,6.58,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
381,Jaime Gavilán,Getafe,AM(L),16(11),1344,-,5,1,-,0.9,76.5,0.3,-,6.58,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
382,Juan Carlos Valerón,Deportivo,AM(C),12(12),1227,1,5,-,-,0.3,83.3,0.3,-,6.57,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
383,Apoño,Malaga,M(C),17(7),1711,2,-,4,-,1,78.1,0.5,-,6.57,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
384,David Fuster,Villarreal,AM(R),11(11),1120,3,2,6,-,1.2,68.7,0.7,1,6.57,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
385,Antonio Tomás,Deportivo,M(CR),28(2),2416,-,-,7,1,0.5,83,0.3,-,6.57,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
386,Rafael Sastre,Sporting Gijon,D(R),11(3),1011,-,-,4,-,0.3,69.1,1.2,-,6.57,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
387,Fernando Varela,Mallorca,D(C),10(5),830,-,-,6,-,1.7,69.6,0.5,-,6.56,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
388,Míchel,Xerez,FW,7(7),594,2,-,1,-,0.9,63.3,1.1,-,6.56,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
389,Juanma Ortiz,Almeria,M(CR),24(11),2183,2,4,8,2,0.4,68.5,0.2,1,6.55,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
390,Mahamadou Diarra,Real Madrid,DMC,4(11),470,-,-,2,-,0.3,87.3,0.9,-,6.54,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
391,Selim Benachour,Malaga,FW,18(5),1449,-,2,6,-,1.1,78.1,0.2,-,6.54,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
392,Raúl,Real Madrid,FW,8(22),1050,5,1,1,-,1.1,81.3,0.7,1,6.54,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
393,Javier Paredes,Real Zaragoza,D(C),18(2),1523,-,-,7,1,0.3,74.8,0.8,-,6.53,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
394,Javier López Vallejo,Real Zaragoza,GK,7,630,-,-,-,-,-,58.1,-,-,6.53,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
395,Carlos Calvo,Xerez,M(R),26(9),2142,4,1,6,1,0.9,79.4,0.1,1,6.53,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
396,Iván Bolado,Racing Santander,FW,3(9),413,2,2,2,-,0.9,80.5,0.3,-,6.53,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
397,Óscar De Marcos,Athletic Bilbao,M(CR),9(10),902,1,-,1,-,1.2,72.3,0.6,-,6.52,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
398,Xavi Torres,Malaga,M(C),10(1),803,1,1,-,-,0.9,75.2,0.5,1,6.52,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
399,Masoud Shojaei,Osasuna,FW,18(18),1674,2,1,4,-,1,70.1,0.6,1,6.51,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
400,Iván Alonso,Espanyol,FW,19(15),1705,5,-,7,-,1.8,64.9,1.6,1,6.51,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
401,David López,Athletic Bilbao,M(CR),7(10),640,-,3,1,-,0.7,70.6,0.1,-,6.51,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
402,Pablo Ibáñez,Atletico,D(L),6(1),543,-,-,2,-,-,75,1.1,-,6.50,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
403,Juan Domínguez,Deportivo,M(C),8(5),745,-,-,2,-,0.5,82.6,0.2,-,6.50,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
404,Nabil Baha,Malaga,FW,21(11),2000,5,1,6,-,1.3,69.2,1,1,6.50,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
405,Juan Luis Redondo,Xerez,D(R),11(2),1046,-,-,6,2,0.2,65.7,0.4,-,6.50,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
406,Vicente,Valencia,AM(C),5(6),498,-,1,1,-,0.9,84.8,0.2,-,6.49,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
407,Lillo,Valencia,D(CLR),1,47,-,-,1,-,-,94.7,-,-,6.49,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
408,Pedro Ríos,Getafe,M(R),4(14),592,1,-,2,-,0.5,75.6,0.3,-,6.49,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
409,Pablo Álvarez,Deportivo,M(CR),17(11),1481,2,-,3,1,0.9,75.5,0.4,-,6.49,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
410,Óscar Serrano,Racing Santander,FW,27(6),2194,3,3,7,-,1,71.7,0.2,-,6.49,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
411,Héctor Font,Real Valladolid,Midfielder,3(7),355,-,-,2,-,0.5,77.4,0.1,-,6.49,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
412,Sebastián Eguren,Villarreal,M(CR),9(5),853,-,1,4,-,0.4,70.2,1.3,-,6.49,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
413,Leandro Cabrera,Atletico,D(CL),4,360,-,-,1,-,0.5,62,0.5,-,6.49,19.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
414,Toni Moral,Racing Santander,M(C),10(8),810,1,-,4,-,0.9,76.3,0.2,-,6.49,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
415,Mate Bilic,Sporting Gijon,FW,17(14),1620,5,1,1,1,1.2,58,1.8,-,6.48,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
416,László Sepsi,Racing Santander,D(L),4(1),379,-,-,-,-,-,64.2,0.8,-,6.48,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
417,Adrián López,Deportivo,FW,25(9),2099,4,2,2,-,0.8,78.7,0.6,-,6.47,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
418,Esteban,Almeria,GK,1(1),116,-,-,-,-,-,73.7,-,-,6.47,35.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
419,Roberto Ayala,Real Zaragoza,D(L),13,1126,-,1,7,-,0.7,76.3,1.6,-,6.46,37.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
420,Rodri,Sevilla,FW,0(2),11,1,-,1,-,1,80,-,-,6.46,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
421,Richi,Tenerife,M(C),16(6),1343,1,-,2,-,1,79,1.2,-,6.45,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
422,Jonathan Sesma,Real Valladolid,AM(C),14(3),1003,1,2,1,-,1.2,76.7,0.2,-,6.45,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
423,Carlos Lázaro,Real Valladolid,DMC,6(2),576,-,-,1,-,0.8,75.7,1,-,6.45,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
424,Keko,Real Valladolid,M(R),4(9),527,-,2,-,-,0.7,68.7,0.1,-,6.45,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
425,Hedwiges Maduro,Valencia,DMC,12(6),1122,-,-,6,1,0.1,86.9,0.5,-,6.44,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
426,Fabián Vargas,Almeria,M(C),6(4),461,-,-,1,-,0.4,86.1,-,-,6.44,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
427,Aldo Duscher,Sevilla,DMC,7(3),623,-,-,3,1,0.7,79,0.9,-,6.44,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
428,Lolo,Sevilla,M(C),9(12),925,1,1,4,-,0.7,73.8,0.6,-,6.44,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
429,Mista,Deportivo,Midfielder,5(8),490,1,1,3,-,1.1,69.4,0.3,-,6.44,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
430,Miguel Ángel Nieto,Almeria,Midfielder,3(11),404,-,-,1,-,0.4,67,-,-,6.44,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
431,Marquitos,Real Valladolid,AM(C),11(8),862,2,1,-,-,0.7,72.6,0.1,-,6.43,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
432,Ignacio Camacho,Atletico,M(C),6(6),530,-,1,2,-,0.4,79.8,0.3,-,6.43,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
433,Vicente Moreno,Xerez,DMC,15(7),1331,1,-,6,-,0.3,78.6,0.6,-,6.42,36.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
434,Omar Ramos,Tenerife,AM(LR),7(16),858,-,2,2,-,0.7,73.2,0.1,-,6.42,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
435,Diego Seoane,Deportivo,D(C),1,90,-,-,-,-,-,57.6,-,-,6.42,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
436,Shunsuke Nakamura,Espanyol,Midfielder,6(7),568,-,1,2,-,0.8,89.6,0.1,-,6.41,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
437,Albert Luque,Malaga,Forward,5(12),688,1,1,2,2,1,66,0.6,-,6.41,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
438,Bueno,Real Valladolid,FW,7(13),834,1,1,-,-,1,77,0.1,-,6.40,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
439,Edinho,Malaga,FW,2(8),338,2,1,2,-,1.7,70.3,0.8,-,6.40,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
440,Zé Castro,Deportivo,D(C),8(2),705,-,-,1,-,0.1,77.5,0.6,-,6.40,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
441,Piscu,Deportivo,D(C),3,226,-,-,-,-,0.3,70.5,0.3,-,6.40,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
442,Florent Sinama-Pongolle,Atletico,FW,3(7),301,-,-,-,-,0.5,70,1,-,6.40,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
443,Lassad,Deportivo,FW,10(9),791,2,-,1,-,1.3,76.6,0.6,-,6.39,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
444,Carmelo,Sporting Gijon,FW,11(16),1056,-,1,3,-,1.1,76.8,0.1,-,6.39,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
445,Ewerthon,Real Zaragoza,Forward,1(9),389,2,1,1,-,1.1,83,0.1,-,6.38,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
446,Ikechukwu Uche,Real Zaragoza,FW,2(1),150,-,1,-,-,0.7,71.7,-,-,6.38,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
447,Francisco Maldonado,Sporting Gijon,Forward,6(9),560,-,2,2,1,0.5,78.2,0.1,-,6.37,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
448,Henok Goitom,Almeria,FW,11(10),1037,1,1,1,-,1.1,73.9,0.8,-,6.37,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
449,Aitor Núñez,Tenerife,D(R),4(1),260,-,-,-,-,-,78.5,-,-,6.37,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
450,Ibrahima Baldé,Atletico,FW,5(13),502,3,-,1,-,0.8,65.3,0.8,-,6.37,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
451,Dinei,Tenerife,FW,1(22),514,-,2,1,-,0.7,65.3,1.5,-,6.37,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
452,Daniel Orozco,Malaga,Defender,4,360,-,-,2,-,0.8,54.7,0.8,-,6.37,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
453,Bruno China,Mallorca,Midfielder,2(7),219,-,-,2,-,0.1,81,0.6,-,6.36,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
454,Manuel Fernandes,Valencia,M(CL),8(7),792,-,-,3,1,0.6,88.9,0.1,-,6.36,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
455,Keko,Atletico,M(R),0(1),27,-,-,-,-,-,100,-,-,6.36,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
456,Milan Smiljanic,Sporting Gijon,M(C),5(1),386,-,-,1,-,0.3,79.4,0.2,-,6.36,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
457,Fernando Forestieri,Malaga,FW,1,53,-,-,-,-,1,88.9,-,-,6.35,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
458,Iván Pérez,Deportivo,Midfielder,3(17),683,-,-,-,-,0.8,75.6,0.3,-,6.35,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
459,Coro,Espanyol,FW,11(12),1053,1,1,1,-,0.6,77.8,0.2,-,6.34,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
460,Rúper,Osasuna,DMC,11(16),1097,-,1,1,2,0.7,76.4,0.7,-,6.34,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
461,Marko Babic,Real Zaragoza,Defender,7(7),612,-,-,1,-,0.7,69,0.3,-,6.34,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
462,Alexandre Geijo,Racing Santander,FW,8(11),821,1,2,1,-,1.1,69.1,0.5,-,6.34,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
463,Javi Varas,Sevilla,GK,5,450,-,-,-,-,-,41.7,-,-,6.33,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
464,Pedrito,Malaga,Midfielder,0(3),59,-,-,-,-,0.7,71.4,-,-,6.33,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
465,Luis García,Racing Santander,AM(C),4(11),572,-,1,2,-,0.7,70.2,0.4,-,6.33,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
466,Ortiz Bernal,Almeria,Midfielder,0(17),213,1,2,1,-,0.5,65.8,0.1,-,6.33,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
467,Luis Prieto,Real Valladolid,D(CL),19(1),1555,-,-,4,1,0.2,68.4,1.2,-,6.33,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
468,Xisco,Racing Santander,AM(L),7(16),928,3,1,6,-,0.6,68.7,0.9,-,6.33,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
469,Chori Domínguez,Valencia,FW,4(9),450,-,2,2,-,1.2,73.3,-,-,6.32,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
470,Jordi Amat,Espanyol,DMC,4(2),384,-,-,1,-,-,65.9,0.2,-,6.32,18.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
471,Borja Navarro,Sporting Gijon,Forward,0(1),31,-,-,-,-,-,66.7,1,-,6.32,20.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
472,Etxeberria,Athletic Bilbao,Forward,2(5),266,-,1,-,-,0.6,71.8,0.1,-,6.32,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
473,Matilla,Villarreal,DMC,2,166,-,-,-,-,0.5,86.9,-,-,6.31,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
