,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
60,Jesús Navas,Sevilla,M(R),32(2),2830,4,9,4,-,2,78.1,0.3,2,7.21,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
61,Christoph Metzelder,Real Madrid,DMC,2,180,-,-,-,-,0.5,86.4,2.5,-,7.21,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
62,José Nunes,Mallorca,D(C),34,3053,4,1,11,1,0.6,75.3,1.4,2,7.20,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
63,Éver Banega,Valencia,M(C),33(3),2824,2,8,12,-,1,83.6,0.3,1,7.20,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
64,Diego Forlán,Atletico,FW,30(3),2577,18,6,1,-,3.8,68.1,0.3,2,7.20,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
65,Diego Alves,Almeria,GK,37,3304,-,-,3,1,-,60,-,3,7.19,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
66,Rafael van der Vaart,Real Madrid,M(C),16(10),1216,6,7,1,-,2.4,85.8,0.5,3,7.19,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
67,Sergio Busquets,Barcelona,DMC,26(7),2325,-,2,7,1,0.3,89.5,0.9,1,7.19,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
68,Rubén González,Mallorca,D(C),16(3),1533,3,-,2,-,0.4,69.3,1.5,2,7.19,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
69,Ezequiel Garay,Real Madrid,D(C),19(1),1686,1,2,5,-,0.5,86.1,1.7,-,7.18,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
70,Roberto Soldado,Getafe,FW,25(1),2269,16,2,11,-,3.5,71.4,0.7,6,7.18,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
71,Pedro,Barcelona,FW,22(12),2124,12,3,2,-,1.1,86.6,0.1,2,7.18,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
72,Gaizka Toquero,Athletic Bilbao,FW,26(5),2222,8,4,6,-,1.9,56.5,2.1,2,7.17,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
73,Roberto Fernández,Osasuna,GK,2,180,-,-,-,-,-,41.7,-,-,7.17,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
74,Iván Ramis,Mallorca,D(C),26,2245,-,-,4,2,0.5,75.8,1.6,1,7.16,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
75,Guti,Real Madrid,AM(C),10(16),1243,2,9,5,-,1,86.1,0.2,1,7.16,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
76,Walter Pandiani,Osasuna,FW,28(1),2419,11,1,4,1,2.3,62,3.9,5,7.16,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
77,Pablo Sicilia,Tenerife,DMC,33(1),3003,-,2,4,-,0.4,70.2,1.6,2,7.15,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
78,Javi Márquez,Espanyol,M(C),12(3),1136,1,1,6,-,2.3,78.5,0.3,1,7.14,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
79,Héctor Sánchez Cabrera,Tenerife,D(C),11,955,-,1,2,-,0.2,60.4,0.9,1,7.14,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
