,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
445,Boris Tashchy,Stuttgart,FW,0(9),147,-,-,-,-,0.2,64.9,1.3,-,6.09,0.2,0.1,0.6,-,0.2,-,-,-,0.1,-,0.2,0.1,0.2,0.2,6.3,-,-,-,Bundesliga,2015/2016
446,Sonny Kittel,Eintracht Frankfurt,FW,1(7),272,-,-,-,-,0.9,69.4,-,-,6.09,0.8,0.5,0.5,-,-,0.8,0.1,-,0.1,0.4,1.1,0.1,0.6,0.9,10.6,0.3,0.1,-,Bundesliga,2015/2016
447,Sascha Mölders,Augsburg,FW,0(4),26,-,-,-,-,0.5,28.6,0.3,-,6.08,0.3,-,1,-,-,-,-,-,-,-,-,-,0.3,-,1.8,-,-,-,Bundesliga,2015/2016
448,Koo Ja-Cheol,Mainz,M(CLR),0(2),17,-,-,-,-,-,66.7,0.5,-,6.08,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,4.5,0.5,-,-,Bundesliga,2015/2016
449,Dante,Bayern,D(C),0(1),17,-,-,-,-,-,94.7,-,-,6.07,-,-,1,-,1,-,-,-,-,-,-,-,-,-,19,-,2,-,Bundesliga,2015/2016
450,Fabian Reese,Schalke,FW,0(1),3,-,-,-,-,-,75,1,-,6.07,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,-,-,Bundesliga,2015/2016
451,Maximilian Beister,Mainz,FW,0(1),5,-,-,-,-,-,-,-,-,6.07,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,Bundesliga,2015/2016
452,Václav Kadlec,Eintracht Frankfurt,FW,2(3),110,-,-,1,-,0.4,81.3,0.4,-,6.07,0.6,0.4,1,-,-,0.4,-,-,-,-,0.6,-,-,0.4,3.2,-,0.2,-,Bundesliga,2015/2016
453,Leandro Putaro,Wolfsburg,AM(R),0(4),44,-,-,-,-,0.3,72.7,-,-,6.07,-,0.3,0.3,-,-,-,-,-,-,0.3,-,-,-,-,2.8,-,-,-,Bundesliga,2015/2016
454,Jens Grahl,Hoffenheim,GK,1,90,-,-,-,-,-,72.2,-,-,6.06,-,-,-,-,-,1,-,-,-,-,-,-,-,-,18,-,2,-,Bundesliga,2015/2016
455,Benjamin Gorka,Darmstadt,Defender,0(4),14,-,-,-,-,-,66.7,0.3,-,6.06,-,0.3,-,-,0.5,-,-,-,-,-,-,-,-,-,0.8,-,0.3,-,Bundesliga,2015/2016
456,Tomas Pekhart,Ingolstadt,FW,1(3),82,-,-,1,-,1,71.4,2,-,6.06,0.3,-,0.8,-,-,-,-,-,0.3,-,-,-,0.3,0.5,5.3,-,-,-,Bundesliga,2015/2016
457,Melvyn Lorenzen,Werder Bremen,FW,1(8),145,-,-,-,-,0.1,48,0.1,-,6.05,0.2,0.4,0.6,-,0.1,0.7,-,-,-,0.3,0.4,-,0.4,0.1,2.8,0.1,-,-,Bundesliga,2015/2016
458,Florian Niederlechner,Mainz,FW,1(11),177,-,-,2,-,0.4,45.7,0.3,-,6.04,0.3,0.3,1,-,0.1,0.2,-,-,-,0.1,0.3,0.3,0.3,0.9,2.9,-,0.1,-,Bundesliga,2015/2016
459,Lukas Klünter,FC Koln,M(R),0(1),14,-,-,-,-,1,33.3,1,-,6.03,1,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,Bundesliga,2015/2016
460,Mike-Steven Bähre,Hannover,AM(C),0(1),13,-,-,-,-,-,50,1,-,6.03,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,Bundesliga,2015/2016
461,Luca-Milan Zander,Werder Bremen,M(R),1(1),104,-,-,-,-,-,50,1.5,-,6.03,1.5,2.5,-,-,0.5,2,-,-,-,-,0.5,-,-,0.5,12,-,1,-,Bundesliga,2015/2016
462,Ivica Olic,Hamburg,FW,0(9),168,-,-,-,-,0.6,65.9,0.4,-,6.02,0.1,-,0.6,-,0.3,0.3,-,-,0.1,0.1,-,0.1,-,0.2,4.9,-,-,-,Bundesliga,2015/2016
463,Maurice Multhaup,Ingolstadt,M(CR),0(4),84,-,-,-,-,0.5,77.8,0.3,-,6.02,0.3,0.3,0.3,-,-,-,-,-,-,-,1,-,0.3,0.3,4.5,-,-,-,Bundesliga,2015/2016
464,Valmir Sulejmani,Hannover,FW,1(3),116,-,-,-,-,0.5,67.7,-,-,6.02,0.5,0.3,0.5,-,-,0.5,-,-,-,0.5,0.5,-,0.5,1,7.8,-,-,-,Bundesliga,2015/2016
465,Kevin Kampl,Borussia Dortmund,M(CLR),0(1),12,-,-,-,-,-,90,-,-,6.01,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,Bundesliga,2015/2016
466,Roy Beerens,Hertha Berlin,FW,2,111,-,-,-,1,0.5,72.7,-,-,6.01,-,0.5,1,-,-,1,-,-,-,1,1,-,1.5,0.5,11,1,-,-,Bundesliga,2015/2016
467,Ahmet-Metin Arslan,Hamburg,Midfielder,0(1),1,-,-,-,-,-,100,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,Bundesliga,2015/2016
468,Alexander Nübel,Schalke,GK,0(1),1,-,-,-,-,-,-,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bundesliga,2015/2016
469,Devante Parker,Mainz,Midfielder,0(1),1,-,-,-,-,-,100,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,Bundesliga,2015/2016
470,Elkin Soto,Mainz,M(C),0(1),1,-,-,-,-,-,-,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bundesliga,2015/2016
471,Joelinton,Hoffenheim,FW,0(1),1,-,-,-,-,2,50,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,Bundesliga,2015/2016
472,Kaan Ayhan,Schalke,DMC,0(1),1,-,-,-,-,-,-,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bundesliga,2015/2016
473,Michael Zetterer,Werder Bremen,GK,1,1,-,-,1,-,-,-,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bundesliga,2015/2016
474,Milan Ivana,Darmstadt,Midfielder,0(1),2,-,-,-,-,-,-,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bundesliga,2015/2016
475,Milos Pantovic,Bayern,AM(CLR),0(1),1,-,-,-,-,-,100,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,Bundesliga,2015/2016
476,Thilo Kehrer,Schalke,M(R),0(1),1,-,-,-,-,-,-,-,-,6.00,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,Bundesliga,2015/2016
477,Marvin Friedrich,Schalke,D(C),0(2),3,-,-,-,-,-,-,-,-,6.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,Bundesliga,2015/2016
478,Carlos Gruezo,Stuttgart,DMC,1(1),60,-,-,-,-,-,57.1,0.5,-,5.98,1.5,0.5,-,-,0.5,2.5,-,-,-,-,-,-,1,1,7,-,0.5,-,Bundesliga,2015/2016
479,Mart Ristl,Stuttgart,Midfielder,0(3),45,-,-,1,-,-,81.3,0.3,-,5.97,0.7,0.3,1.3,-,-,0.3,-,-,0.3,0.3,0.3,-,0.3,0.7,10.7,-,0.3,-,Bundesliga,2015/2016
480,Marcel Hilssner,Werder Bremen,M(C),0(1),34,-,-,-,-,-,71.4,1,-,5.96,-,1,-,-,-,-,-,-,-,-,1,-,1,1,7,-,1,-,Bundesliga,2015/2016
