,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
22,Romain Hamouma,Caen,24,FW,31(1),2704,9,8,7,-,1.9,75.7,0.6,5,7.24,1.6,1.4,1.1,-,0.4,0.8,-,-,1.3,1.8,1.8,0.4,2.7,2.3,17.3,0.9,0.6,0.3,Ligue 1,2010/2011
23,Mamadou Sakho,PSG,21,D(C),35,3037,4,1,5,1,0.4,84,2.6,1,7.23,2.6,1.8,0.8,0.6,6.7,0.3,0.9,-,-,0.1,0.7,-,0.1,0.1,37.1,-,2.3,-,Ligue 1,2010/2011
24,Bruno Ecuele Manga,Lorient,23,D(CR),31,2790,1,-,5,-,0.5,87.2,2.9,-,7.23,1.8,2.3,0.7,1,8.1,0.2,0.7,1,0.2,0.5,1.2,-,0.3,0.4,40.5,-,3.6,-,Ligue 1,2010/2011
25,Blaise Matuidi,Saint-Etienne,24,M(CL),34,3052,-,2,6,-,0.8,82.5,0.8,4,7.21,3.8,2.4,2.1,-,2.1,0.8,0.4,-,0.9,0.9,1.9,0.1,0.9,1,48.8,0.2,3.6,0.1,Ligue 1,2010/2011
26,Gervinho,Lille,24,FW,33(2),2854,15,9,4,1,2.7,79.9,0.1,4,7.20,0.6,0.9,0.5,-,0.1,0.4,-,-,1.3,2.1,1.3,0.8,2,1.8,22,0.1,0.3,-,Ligue 1,2010/2011
27,Amadou Sidibe,Auxerre,25,D(C),9(1),804,-,1,2,-,0.3,75.9,0.5,-,7.20,3.7,2.1,0.9,0.1,4,0.7,0.3,-,0.4,0.9,1,-,0.3,0.7,26.6,0.2,1,-,Ligue 1,2010/2011
28,Guillaume Hoarau,PSG,27,FW,31(2),2640,9,6,2,1,3,66.5,4.4,2,7.19,0.6,0.6,1.5,-,1,0.3,0.2,-,1.3,0.4,1.2,0.7,1.3,1.9,27.7,0.1,0.4,0.1,Ligue 1,2010/2011
29,Pascal Berenguer,Nancy,30,M(CR),15(3),1324,4,1,3,1,2.1,76.5,1.6,3,7.19,2.2,3.6,1.6,-,2.2,1.3,0.4,-,0.6,0.3,1.8,0.1,0.3,1,34.9,0.3,2,-,Ligue 1,2010/2011
30,Lucho González,Marseille,30,M(C),33(3),2913,8,6,3,-,1.6,76.1,0.8,2,7.19,2.2,1.8,0.8,-,0.8,1.7,0.2,-,2.1,0.4,1.4,0.1,1.2,1.4,41.6,1.4,1.2,0.2,Ligue 1,2010/2011
31,Boukary Dramé,Sochaux,26,M(L),23(3),2162,2,2,2,-,0.6,85.8,0.8,-,7.19,2.5,1.6,1.3,0.3,6.2,0.3,0.5,-,0.5,0.6,0.8,-,0.6,0.4,38.7,0.4,2.5,-,Ligue 1,2010/2011
32,Michael Ciani,Bordeaux,27,D(C),27(2),2424,3,-,9,-,0.6,78.4,2.4,6,7.18,1.9,2.9,1.7,1.4,6.6,0.4,0.4,-,0.1,0.2,1,0.1,0.2,0.5,42.9,-,5.1,-,Ligue 1,2010/2011
33,Jérémy Toulalan,Lyon,28,M(C),27(1),2259,-,1,6,-,0.9,77.3,1.9,2,7.18,3,2.3,1.9,0.2,2,1,0.3,-,0.5,0.6,1.6,-,0.9,0.6,48.5,-,2.6,-,Ligue 1,2010/2011
34,Anthony Mounier,Nice,24,AM(CLR),33(1),2876,3,11,3,-,1.4,71.6,0.5,6,7.16,1.7,1.3,1,-,0.6,0.6,-,-,2.2,1.7,2,0.3,1.8,1.9,25.6,1.9,0.9,0.1,Ligue 1,2010/2011
35,Jaroslav Plasil,Bordeaux,29,M(C),38,3356,4,12,3,-,1.5,79.2,1.2,3,7.16,1.4,1.9,1.1,0.1,1.2,0.7,0.1,-,2.4,0.2,1.9,-,1.1,1.5,43.5,1.7,2.3,-,Ligue 1,2010/2011
36,Jordan Lotiès,Nancy,27,DMC,24(1),2141,-,-,5,-,0.7,76.2,1.5,1,7.16,3.2,3.4,1.4,0.8,5.5,1,0.6,-,0.1,0.4,0.7,-,0.2,0.5,38.4,-,2.8,-,Ligue 1,2010/2011
37,Matthieu Dreyer,Sochaux,22,GK,10(1),945,-,-,1,-,-,59.6,0.2,-,7.15,-,0.1,-,-,1.5,-,-,-,0.1,-,0.1,-,-,-,24.5,-,10.2,-,Ligue 1,2010/2011
38,Nicolas Seube,Caen,32,M(C),29,2472,1,-,4,-,0.7,79.5,0.8,1,7.15,3.2,3,1,0.2,3.3,1,0.7,-,0.6,0.4,1.4,-,0.6,0.5,39.2,0.1,3,-,Ligue 1,2010/2011
39,Samba Diakité,Nancy,22,M(C),16(7),1566,-,-,6,-,0.8,79.5,0.5,1,7.15,3.7,1.5,2.1,-,1.2,1,0.2,-,0.3,2.3,1.5,-,1,1.1,32.7,0.1,1.5,-,Ligue 1,2010/2011
