Unnamed: 0,position,club,league,season
16,17,Freiburg,Bundesliga,2014/2015
17,18,Paderborn,Bundesliga,2014/2015
0,1,BayernMunich,Bundesliga,2015/2016
1,2,BorussiaDortmund,Bundesliga,2015/2016
2,3,BayerLeverkusen,Bundesliga,2015/2016
3,4,BorussiaMGladbach,Bundesliga,2015/2016
4,5,Schalke,Bundesliga,2015/2016
5,6,Mainz,Bundesliga,2015/2016
6,7,HerthaBerlin,Bundesliga,2015/2016
7,8,Wolfsburg,Bundesliga,2015/2016
8,9,FCKoln,Bundesliga,2015/2016
9,10,HamburgerSV,Bundesliga,2015/2016
10,11,Ingolstadt,Bundesliga,2015/2016
11,12,Augsburg,Bundesliga,2015/2016
12,13,WerderBremen,Bundesliga,2015/2016
13,14,Darmstadt,Bundesliga,2015/2016
14,15,Hoffenheim,Bundesliga,2015/2016
15,16,EintrachtFrankfurt,Bundesliga,2015/2016
16,17,VfBStuttgart,Bundesliga,2015/2016
17,18,Hannover,Bundesliga,2015/2016
0,1,BayernMunich,Bundesliga,2016/2017
1,2,RBLeipzig,Bundesliga,2016/2017
2,3,BorussiaDortmund,Bundesliga,2016/2017
3,4,Hoffenheim,Bundesliga,2016/2017
4,5,FCKoln,Bundesliga,2016/2017
5,6,HerthaBerlin,Bundesliga,2016/2017
6,7,Freiburg,Bundesliga,2016/2017
7,8,WerderBremen,Bundesliga,2016/2017
8,9,BorussiaMGladbach,Bundesliga,2016/2017
9,10,Schalke,Bundesliga,2016/2017
10,11,EintrachtFrankfurt,Bundesliga,2016/2017
11,12,BayerLeverkusen,Bundesliga,2016/2017
12,13,Augsburg,Bundesliga,2016/2017
13,14,HamburgerSV,Bundesliga,2016/2017
14,15,Mainz,Bundesliga,2016/2017
15,16,Wolfsburg,Bundesliga,2016/2017
16,17,Ingolstadt,Bundesliga,2016/2017
17,18,Darmstadt,Bundesliga,2016/2017
0,1,BayernMunich,Bundesliga,2017/2018
1,2,Schalke,Bundesliga,2017/2018
2,3,Hoffenheim,Bundesliga,2017/2018
3,4,BorussiaDortmund,Bundesliga,2017/2018
4,5,BayerLeverkusen,Bundesliga,2017/2018
5,6,RBLeipzig,Bundesliga,2017/2018
6,7,VfBStuttgart,Bundesliga,2017/2018
7,8,EintrachtFrankfurt,Bundesliga,2017/2018
8,9,BorussiaMGladbach,Bundesliga,2017/2018
9,10,HerthaBerlin,Bundesliga,2017/2018
10,11,WerderBremen,Bundesliga,2017/2018
11,12,Augsburg,Bundesliga,2017/2018
12,13,Hannover,Bundesliga,2017/2018
13,14,Mainz,Bundesliga,2017/2018
14,15,Freiburg,Bundesliga,2017/2018
15,16,Wolfsburg,Bundesliga,2017/2018
16,17,HamburgerSV,Bundesliga,2017/2018
17,18,FCKoln,Bundesliga,2017/2018
0,1,BayernMunich,Bundesliga,2018/2019
