,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
125,Daniel Baier,Augsburg,M(C),33,2814,-,3,8,-,1.4,73.8,0.5,1,7.03,2.4,1.8,2.1,-,0.3,2,0.1,-,1.5,2.1,2.4,0.1,1.7,1.2,37.6,0.9,1.8,0.4,Bundesliga,2011/2012
126,Eugen Polanski,Mainz,M(C),24(2),1975,3,2,2,1,0.7,78.2,0.6,-,7.03,2.8,2.3,1.2,-,0.9,1.8,0.2,-,0.9,1.2,1.3,-,1,0.6,35.3,0.2,2.7,0.1,Bundesliga,2011/2012
127,Dennis Aogo,Hamburg,M(CL),30,2700,-,2,6,-,1,83.1,0.6,-,7.03,1.4,2.2,0.9,0.1,1.7,1,0.2,-,2.2,0.7,1.2,0.2,0.3,0.6,41.9,2.1,2.7,-,Bundesliga,2011/2012
128,Matthias Ostrzolek,Augsburg,M(L),11(1),1048,-,-,2,-,0.4,72.7,0.8,-,7.02,3.1,2.6,1.2,-,2.8,1.4,0.2,-,0.5,0.9,1.8,0.1,0.5,0.3,38.5,0.7,2.3,-,Bundesliga,2011/2012
129,Anatoliy Tymoshchuk,Bayern,DMC,17(6),1570,-,-,2,1,0.8,91,0.8,-,7.02,2.3,2.2,1.1,0.1,0.7,1.7,0.2,-,0.3,0.2,0.9,-,0.5,0.4,51.3,0.1,6.7,0.1,Bundesliga,2011/2012
130,Marcel Schäfer,Wolfsburg,M(L),34,3013,5,5,2,-,1,70.1,0.9,1,7.01,2.1,1.3,0.6,0.3,1.4,0.6,0.1,-,1.6,0.7,1.2,0.4,0.7,0.7,32.4,1.9,1.9,0.1,Bundesliga,2011/2012
131,Stefano Celozzi,Stuttgart,M(R),2,150,-,-,-,-,0.5,78,0.5,-,7.01,2,1.5,0.5,0.5,0.5,2.5,-,-,2,1,-,-,-,2,45.5,2.5,4,-,Bundesliga,2011/2012
132,David Jarolim,Hamburg,M(R),18(4),1600,-,-,9,-,0.2,91.3,-,-,7.01,2.9,3.1,3,-,0.3,1.3,0.2,-,1,1.5,3.4,0.1,1.1,0.8,44.9,-,5,-,Bundesliga,2011/2012
133,Stefan Reinartz,Leverkusen,M(C),26(4),2356,3,3,6,-,0.6,83.7,1,1,7.00,1.9,2.4,1,0.3,2.5,0.9,0.2,-,0.6,0.4,0.6,-,0.8,0.4,49.2,-,3.6,-,Bundesliga,2011/2012
134,Markus Rosenberg,Werder Bremen,FW,26(7),2378,10,5,3,-,2.5,68.2,1.1,1,7.00,0.8,0.7,1.5,-,0.3,0.7,-,-,0.9,1.1,0.9,0.7,1.4,1.5,17.3,0.2,0.2,-,Bundesliga,2011/2012
135,Paul Verhaegh,Augsburg,M(R),26,2332,1,1,3,-,0.3,77.1,0.8,1,7.00,2.1,2.7,1,0.4,2.9,1,0.2,-,0.4,0.9,1,-,0.6,0.4,37.2,0.3,3.5,0.1,Bundesliga,2011/2012
136,Zdenek Pospech,Mainz,D(R),24(1),2129,-,1,4,-,0.6,77,1.1,1,7.00,3.4,2.7,1,0.3,2.8,1,0.5,1,0.9,0.6,0.7,0.1,0.9,0.6,35.8,0.5,3.1,0.1,Bundesliga,2011/2012
137,Marcell Jansen,Hamburg,M(L),26(3),2315,5,-,2,-,1.9,65.1,1.6,-,6.99,2.3,1.2,0.9,-,0.8,0.6,0.1,-,0.8,1.4,1.1,0.5,1.5,1,23.6,0.4,0.4,-,Bundesliga,2011/2012
138,Renato Augusto,Leverkusen,FW,16(2),1351,-,2,2,-,1.4,85.2,0.3,1,6.99,1.4,0.7,0.8,-,0.2,1.2,-,-,1.4,2.3,1.6,0.1,1.7,1.2,42.7,0.4,3.9,0.2,Bundesliga,2011/2012
139,Peter Niemeyer,Hertha Berlin,M(C),28(3),2491,3,-,5,1,0.9,77.5,1.2,1,6.99,4.4,3.2,2,0.1,1.1,2.4,0.2,-,0.2,0.4,1.7,0.1,0.9,0.6,32,-,2.8,-,Bundesliga,2011/2012
140,Mensur Mujdza,Freiburg,D(R),13(1),1179,1,2,2,-,0.6,69.4,0.4,-,6.98,2.6,3.5,1.4,0.4,3.5,1.6,0.1,-,0.6,0.4,1.9,0.1,0.7,0.8,32.6,0.6,1.7,-,Bundesliga,2011/2012
141,Jan Schlaudraff,Hannover,FW,29(2),2389,3,5,3,-,0.9,79.8,0.4,2,6.98,0.8,0.7,0.5,-,0.4,1,0.1,-,1.5,1.6,1,0.5,1.4,0.9,36.4,0.6,1.4,0.3,Bundesliga,2011/2012
142,Geromel,FC Koln,D(C),27(1),2453,-,-,4,-,0.2,82.3,1.5,2,6.98,2.6,3.9,0.9,1.6,7.6,0.6,1.1,1,0.1,0.2,1,-,0.3,0.3,40.5,0.1,2.9,-,Bundesliga,2011/2012
143,Antônio da Silva,Borussia Dortmund,AM(R),2(3),244,-,1,-,-,0.8,80.7,0.8,-,6.97,2,1.6,0.4,-,0.2,1.4,0.2,-,1.8,0.6,-,-,0.4,0.2,43.6,0.8,2.8,0.4,Bundesliga,2011/2012
144,Christian Träsch,Wolfsburg,M(C),29(4),2631,-,5,3,-,0.8,73.5,0.8,1,6.97,2.8,2.1,0.8,0.9,2.1,1.9,0.2,-,0.8,1.5,1.1,-,1,0.6,35.4,0.5,2.7,-,Bundesliga,2011/2012
145,Andreas Beck,Hoffenheim,M(R),31,2790,1,1,13,-,0.6,77.2,0.9,-,6.97,3.7,2.3,2.3,0.3,2.3,2,0.3,-,0.8,0.7,1.7,-,1.3,0.7,41.7,0.6,2.8,-,Bundesliga,2011/2012
146,David Alaba,Bayern,M(CL),14(16),1559,2,2,1,-,0.6,86.8,0.7,-,6.97,1.4,1.3,0.9,0.1,0.5,0.7,-,-,0.7,1.4,0.3,-,0.4,0.6,30.6,0.3,1.5,-,Bundesliga,2011/2012
147,Shinji Okazaki,Stuttgart,FW,18(8),1583,7,-,4,-,1.5,82.8,0.5,-,6.97,2.3,1.4,1,-,0.4,1.4,0.2,-,0.7,1.1,1.5,0.5,1.3,1,15.9,0.1,0.2,-,Bundesliga,2011/2012
148,Jannik Vestergaard,Hoffenheim,D(C),19(4),1772,2,-,3,-,0.5,80.1,2,2,6.97,2.5,2.1,1,0.6,5.5,1.2,0.6,-,0.3,0.3,0.9,-,0.2,0.2,40.8,-,5.7,-,Bundesliga,2011/2012
149,Matthias Ginter,Freiburg,DMC,11(2),1015,1,-,1,-,0.3,78,2.2,1,6.97,1.2,2.8,0.5,0.6,3.8,0.5,0.5,-,0.3,-,0.5,-,0.7,0.3,28.3,-,2.8,-,Bundesliga,2011/2012
150,Felipe Santana,Borussia Dortmund,DMC,10(3),950,1,-,1,-,0.5,81.4,1.4,1,6.96,1.7,2.4,1.5,0.8,4.3,0.9,0.6,1,-,0.1,0.9,-,-,0.2,46.7,-,3.1,-,Bundesliga,2011/2012
151,José Manuel Jurado,Schalke,M(CLR),10(8),1001,-,4,2,-,1,84.2,-,1,6.96,0.6,0.7,1.3,-,0.1,0.9,-,-,1.4,1.8,1.3,-,1.2,0.6,35.6,1.3,2.4,0.1,Bundesliga,2011/2012
152,Chris,Wolfsburg,M(R),7(1),581,1,2,3,-,0.8,71.2,2,-,6.96,3,2,2.8,0.8,3.9,1,0.6,-,0.6,0.4,1,-,0.8,0.5,25.6,0.1,2.8,-,Bundesliga,2011/2012
153,Sebastian Prödl,Werder Bremen,D(C),13(3),1068,2,1,-,-,0.5,81.3,1.6,-,6.95,1.5,2.3,0.9,1.1,3.3,0.7,0.9,-,0.2,0.3,0.8,-,0.1,0.1,31.8,-,2.9,-,Bundesliga,2011/2012
154,Emanuel Pogatetz,Hannover,D(C),28(1),2467,1,-,3,-,0.6,78.7,2.6,2,6.95,1.8,2.4,1.4,1,5.7,0.5,1,-,-,0.2,0.9,-,0.1,0.1,38.2,-,2.9,-,Bundesliga,2011/2012
155,Lukas Schmitz,Werder Bremen,M(CL),20(6),1916,-,3,6,-,0.5,77.6,0.5,-,6.95,2.9,2.5,1,0.1,1.8,1.8,0.2,-,0.7,1.1,0.6,-,0.6,0.5,38.4,0.7,1.8,-,Bundesliga,2011/2012
156,Marko Marin,Werder Bremen,M(CLR),16(5),1352,1,5,2,-,1.5,79.6,0.1,2,6.95,0.7,0.6,0.4,-,-,0.8,-,-,1.9,2.1,2,0.2,1.2,1.2,25.6,1.3,1.1,0.2,Bundesliga,2011/2012
157,Fabian Johnson,Hoffenheim,M(CLR),27(2),2344,2,5,-,-,0.5,79.1,0.4,1,6.95,1.6,1.6,0.6,0.2,1.6,0.6,0.2,-,0.9,1.1,1.4,0.2,1,0.7,30.8,0.3,1,0.1,Bundesliga,2011/2012
158,Papiss Cissé,Freiburg,FW,17,1530,9,2,2,-,3.6,73.4,1.5,-,6.94,0.3,0.5,1.3,-,0.3,0.4,0.2,-,0.9,1.4,1.2,2.6,1.9,3.4,27,0.2,0.8,-,Bundesliga,2011/2012
159,Maza Rodríguez,Stuttgart,D(C),24(2),2196,2,1,4,1,0.5,83.5,2.2,-,6.94,2.2,2.2,1,0.9,6.7,0.8,0.6,-,0.2,0.2,0.7,-,0.2,0.3,43.9,-,5.3,-,Bundesliga,2011/2012
160,Sérgio Pinto,Hannover,M(C),29(1),2510,1,4,11,-,1.7,75,0.1,-,6.94,2.8,3,1.8,-,1.5,3.1,-,-,1,0.9,1.5,0.1,1,0.7,43.8,0.2,4,0.1,Bundesliga,2011/2012
161,Ivan Perisic,Borussia Dortmund,FW,8(20),992,7,3,1,1,1.4,84.4,0.7,-,6.94,1,0.8,0.5,-,0.4,0.3,-,-,0.5,0.8,0.5,0.3,0.5,0.6,17,0.3,1,-,Bundesliga,2011/2012
162,Ivo Ilicevic,Kaiserslautern,M(CLR),4,360,1,-,-,1,1.5,75.9,0.5,-,6.94,3,1,1.8,-,0.3,2.3,-,-,1.3,3,1.5,0.8,1.5,1.5,29,0.3,2.8,-,Bundesliga,2011/2012
163,Zlatko Junuzovic,Werder Bremen,M(CLR),15,1200,-,3,1,-,1.4,79.5,0.3,-,6.94,2.8,2.4,1.2,0.1,0.3,2.1,0.2,-,1.3,0.7,1.9,0.3,1.5,1.1,38.4,0.8,1.3,0.1,Bundesliga,2011/2012
164,Nikolce Noveski,Mainz,D(C),24(2),2143,-,1,2,-,0.5,78.3,1.8,-,6.94,1.9,2.2,1.5,0.8,6.7,0.8,0.6,2,0.2,0.4,0.7,-,0.3,0.4,39.6,-,6.3,-,Bundesliga,2011/2012
165,Markus Feulner,Nuernberg,M(CR),23(5),2121,1,3,10,-,1.2,69.5,0.7,-,6.93,3,1.7,2.1,0.5,1.1,1.4,0.1,-,1.1,1.2,1.7,0.1,1.1,1.1,28.2,0.9,1.8,0.1,Bundesliga,2011/2012
166,Mohamed Amsif,Augsburg,GK,7,630,-,-,1,-,-,50.3,-,-,6.93,-,-,-,-,0.9,-,-,-,-,-,0.3,-,-,-,24.1,-,7.6,-,Bundesliga,2011/2012
167,Timothy Chandler,Nuernberg,M(LR),29(1),2516,1,2,5,1,0.9,67.8,0.7,2,6.93,1.9,2.3,1.6,0.1,1.2,0.9,0.1,-,1.1,1.6,1.4,0.2,1.2,1.2,26.9,1.4,1.7,-,Bundesliga,2011/2012
168,Dennis Diekmeier,Hamburg,M(R),22(2),2012,-,2,2,-,0.3,80,0.8,-,6.92,2.2,1.4,0.7,0.2,1.5,0.6,0.5,-,1,1.5,1.2,0.2,0.8,0.5,28.1,1,1.3,-,Bundesliga,2011/2012
169,Marco Höger,Schalke,M(C),19(8),1733,1,5,3,-,0.2,79.6,1.3,1,6.92,1.6,1.3,0.9,0.1,0.7,1.3,0.1,-,0.4,1.6,0.9,0.1,1.3,0.7,41,0.4,2.2,0.1,Bundesliga,2011/2012
170,Sven Neuhaus,Hamburg,Goalkeeper,2(1),246,-,-,-,-,-,56.4,-,-,6.92,-,-,-,0.3,-,-,-,-,-,-,0.3,-,-,-,31.3,-,10,-,Bundesliga,2011/2012
