,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
73,Mattia Zaccagni,Verona,FW,33(3),2630,5,5,6,-,0.9,74.1,1.4,4,6.89,0.8,0.8,1,-,0.3,0.5,0.1,-,1.1,1.7,3,0.3,1.8,2.1,23.7,0.3,0.9,-,Serie A,2020/2021
74,Stefan de Vrij,Inter,D(C),30(2),2732,1,-,2,-,0.4,93.8,2,1,6.89,0.9,1.3,0.6,0.3,2.9,0.3,0.6,-,0.2,0.2,0.3,-,0.1,0.2,61.3,-,2.7,-,Serie A,2020/2021
75,Dries Mertens,Napoli,FW,18(11),1464,9,8,2,-,1.9,80.3,0.1,3,6.88,0.6,0.3,0.5,-,0.1,0.7,-,-,1.2,0.4,0.3,0.2,0.2,0.6,14.6,0.4,0.3,-,Serie A,2020/2021
76,Morten Thorsby,Sampdoria,M(CLR),29(4),2648,3,1,10,-,0.7,74.9,4.6,4,6.87,2.3,0.8,2.2,0.1,0.8,1.2,0.5,-,0.5,0.4,0.7,0.1,0.5,1.2,29.2,-,0.5,-,Serie A,2020/2021
77,Rafael Leão,AC Milan,FW,22(8),1934,6,6,5,-,1.4,75.7,1.4,-,6.87,0.4,0.1,0.9,-,0.4,0.3,-,-,0.9,1.3,0.7,0.1,0.5,1.8,15.3,0.2,0.2,-,Serie A,2020/2021
78,Guglielmo Vicario,Cagliari,GK,4,360,-,-,-,-,-,62.9,-,-,6.87,-,-,-,-,0.8,-,-,-,-,-,0.3,-,-,-,22.3,-,7.3,-,Serie A,2020/2021
79,Simone Bastoni,Spezia,M(L),19(3),1530,1,6,7,-,1,76.6,1.3,2,6.86,2.3,0.7,1.6,0.2,1.3,1.1,-,-,1.3,1.1,1.2,0.1,0.9,1.3,37.9,1.3,2.4,-,Serie A,2020/2021
80,Kalidou Koulibaly,Napoli,D(C),25(1),2211,-,-,8,1,0.4,88.7,1.5,1,6.86,1.4,1.1,1.1,0.7,2.2,0.5,1,-,0.2,0.7,0.3,-,0.2,0.3,67.8,0.1,4.8,-,Serie A,2020/2021
81,Bremer,Torino,D(C),33,2936,5,-,2,-,0.8,82.7,2.9,1,6.86,1.5,2.1,0.9,0.4,4.1,0.5,0.6,-,0.2,0.2,0.5,-,0.2,0.7,50.2,-,3.5,-,Serie A,2020/2021
82,Ibañez,Roma,D(C),28(2),2402,-,1,5,1,0.5,86.9,2.2,2,6.86,2,2.3,1.8,0.9,2.6,0.7,0.6,1,0.4,0.5,1,-,0.3,0.8,56.6,-,3.2,-,Serie A,2020/2021
83,Alessandro Bastoni,Inter,D(C),33,2926,-,3,6,-,0.3,90.5,1.5,-,6.85,1.1,1.2,1.2,0.2,2.2,0.3,0.5,-,0.4,0.4,0.8,-,0.2,0.6,68,0.1,4.6,-,Serie A,2020/2021
84,Francesco Acerbi,Lazio,D(C),32,2815,-,1,7,1,0.3,89.4,1.9,-,6.85,1.6,2.4,1,0.3,3.6,0.7,0.5,-,0.3,0.2,0.8,0.1,0.3,0.7,63.7,0.3,5.3,-,Serie A,2020/2021
85,Antonio Sanabria,Torino,FW,12(2),984,5,1,2,-,1.4,75.1,2.1,1,6.85,0.6,0.4,1.2,-,0.6,0.5,-,-,0.5,0.8,0.9,0.2,1.4,2.1,18.4,0.1,0.7,-,Serie A,2020/2021
86,Matteo Politano,Napoli,FW,22(15),1911,9,4,3,-,1.7,81.7,0.1,-,6.85,0.6,0.4,0.4,-,0.5,1,-,-,0.9,1,1.3,-,0.6,1.2,20.5,0.5,0.9,0.1,Serie A,2020/2021
87,Jérémie Boga,Sassuolo,FW,20(7),1790,4,2,-,-,1.2,89.4,0.1,2,6.85,0.4,0.3,0.3,-,0.2,0.3,-,-,0.4,3.2,1.3,0.3,1.1,2.1,27.5,0.1,0.6,-,Serie A,2020/2021
88,Hans Hateboer,Atalanta,M(R),20(2),1765,2,1,3,-,1.2,87.1,1,-,6.84,1.3,0.8,0.9,0.1,0.4,0.5,-,-,0.9,0.2,0.4,0.1,0.5,1.3,38.7,0.5,0.8,-,Serie A,2020/2021
89,Kevin Strootman,Genoa,DMC,18,1330,-,4,7,-,0.3,84.1,0.9,1,6.83,1.7,1.4,1.4,0.1,0.8,1,0.2,-,1.3,0.5,0.7,0.1,0.6,0.9,44,0.4,1.7,0.1,Serie A,2020/2021
90,Stephane Singo,Torino,M(R),20(8),1854,1,2,2,1,0.4,79.9,1.9,2,6.83,1,1,1,0.1,1.3,0.6,0.1,-,0.9,1.9,1.8,0.1,0.5,1.5,25.5,0.6,0.9,-,Serie A,2020/2021
91,Pietro Terracciano,Fiorentina,GK,2(2),271,-,-,-,-,-,50,-,-,6.83,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,19.5,-,7.5,-,Serie A,2020/2021
92,Simone Edera,Torino,AM(C),0(2),51,-,-,-,-,1.5,82.4,-,-,6.83,1.5,0.5,0.5,-,0.5,0.5,-,-,1.5,1,0.5,-,-,1,8.5,1.5,0.5,-,Serie A,2020/2021
93,Gian Marco Ferrari,Sassuolo,D(C),33(1),3015,-,4,7,-,0.7,91.7,2.1,-,6.82,0.9,1.5,1.2,0.5,2.8,0.4,1.1,-,0.4,0.2,1.1,-,0.2,0.5,79.6,-,3.4,-,Serie A,2020/2021
94,Ionut Radu,Inter,GK,1(1),135,-,-,-,-,-,95.5,0.5,-,6.82,-,-,-,-,1,-,-,-,-,-,-,-,-,-,22,-,0.5,-,Serie A,2020/2021
95,Alberto Paleari,Genoa,Goalkeeper,2(1),205,-,-,-,-,-,62.7,-,-,6.82,-,-,-,-,1,-,-,-,-,-,0.3,-,-,-,22.3,-,3,-,Serie A,2020/2021
96,Musa Barrow,Bologna,FW,34(4),2934,8,8,-,-,2.3,77.1,0.6,3,6.82,0.7,0.3,0.4,-,0.3,0.4,0.1,-,1.6,0.9,0.8,0.3,1.4,2.7,26.4,0.9,1.4,-,Serie A,2020/2021
97,Matthijs de Ligt,Juventus,D(C),25(2),2221,1,1,4,-,0.7,92.5,2.1,-,6.82,1.4,1.1,1.5,0.3,2.4,0.4,0.8,-,0.3,0.2,0.9,0.1,0.1,0.4,63.9,0.1,2.6,-,Serie A,2020/2021
98,Nehuén Paz,Bologna,D(CL),3(3),364,1,-,-,-,0.3,83.3,3.5,-,6.82,1.5,1.8,0.5,0.5,2.7,0.2,0.3,-,0.2,-,0.3,-,-,0.3,39,-,1.2,-,Serie A,2020/2021
99,Koray Günter,Verona,D(C),21(6),1771,-,2,4,-,0.2,88.2,2.9,1,6.81,0.7,2.6,1.1,0.4,3.1,0.2,0.9,-,0.2,0.3,0.4,-,-,0.2,42.1,-,2.9,-,Serie A,2020/2021
100,Franck Ribéry,Fiorentina,FW,28(1),2172,2,6,6,1,0.7,89.2,0.2,3,6.81,0.8,0.1,1.2,-,-,0.8,0.1,-,1.2,2.2,2.5,0.2,2.9,2.5,29.3,0.1,1.5,0.2,Serie A,2020/2021
101,Emil Audero,Sampdoria,GK,37,3330,-,1,-,-,-,65.6,0.2,2,6.81,-,-,-,-,0.6,-,-,-,-,-,0.2,-,-,-,28.8,-,7.2,-,Serie A,2020/2021
102,Elseid Hysaj,Napoli,M(R),20(4),1773,-,2,2,-,0.3,84.6,0.8,-,6.81,1.2,1.3,0.7,0.1,1.8,0.7,0.2,-,0.6,0.9,0.8,-,0.3,1,44.1,-,2,0.1,Serie A,2020/2021
103,Marko Rog,Cagliari,M(C),14,1169,-,-,2,-,0.6,88.1,0.4,-,6.80,2.9,1.4,2.4,-,0.9,1.5,0.4,-,0.6,1.4,1.6,-,0.9,1.4,43.7,0.1,1.6,-,Serie A,2020/2021
104,Alessio Cragno,Cagliari,GK,34,3060,-,-,1,-,-,64.8,0.3,1,6.80,-,-,0.1,-,0.7,-,-,-,-,-,0.1,-,-,-,24.2,-,6.3,-,Serie A,2020/2021
105,Gianluigi Donnarumma,AC Milan,GK,37,3330,-,-,1,-,-,77,0.2,1,6.80,-,-,-,-,0.9,-,-,-,-,-,0.1,-,-,-,29.2,-,5.5,-,Serie A,2020/2021
106,Alexis Sánchez,Inter,FW,12(18),1139,7,5,-,-,1,80,0.3,2,6.79,0.5,0.2,0.6,-,-,0.4,-,-,1.1,0.8,1.1,0.3,1.1,1.4,16,0.4,0.9,0.2,Serie A,2020/2021
107,MBala Nzola,Spezia,FW,21(4),1898,11,3,5,-,1.8,84.3,1.6,2,6.79,0.5,0.1,2.2,-,0.8,0.1,-,-,0.9,1.1,1.1,1,1.6,3.3,18.4,-,0.7,-,Serie A,2020/2021
108,Antonio Candreva,Sampdoria,M(CLR),28(7),2512,5,8,1,-,1.6,77,0.1,1,6.79,0.8,0.3,0.4,0.1,0.5,0.9,0.1,-,1.8,0.8,0.8,0.3,0.3,1.4,36.5,1.5,3.4,-,Serie A,2020/2021
109,Cristián Zapata,Genoa,D(C),12,970,-,-,2,-,0.3,87.1,2.3,-,6.79,1.5,1.3,0.5,0.3,4.7,0.3,0.9,-,0.1,0.1,0.4,-,0.2,0.4,40.8,-,2,-,Serie A,2020/2021
110,Nikola Milenkovic,Fiorentina,D(CR),34,3036,3,1,7,1,0.6,86,3,1,6.79,1.4,1.3,1.6,0.8,3.6,0.4,1,-,0.2,0.2,0.5,-,0.1,0.4,46.6,-,2.5,-,Serie A,2020/2021
111,Mattia Perin,Genoa,GK,32,2880,-,-,1,1,-,60.4,0.3,3,6.78,-,-,0.1,-,0.6,-,-,-,-,-,0.1,-,-,-,31.8,-,7.5,-,Serie A,2020/2021
112,Razvan Marin,Cagliari,M(C),35(2),2977,3,6,6,-,0.7,87.5,0.3,1,6.78,1.5,0.8,1.3,-,0.4,0.7,0.3,-,1.9,0.9,0.6,0.1,0.7,1.3,41.1,1.4,2.4,-,Serie A,2020/2021
113,Léo Sena,Spezia,M(C),8(8),884,-,-,-,-,0.1,88.7,0.3,1,6.78,1.4,0.7,0.4,-,0.2,0.9,0.3,-,0.1,2.3,3.8,-,0.7,0.6,38.1,0.1,5.3,-,Serie A,2020/2021
114,Armando Izzo,Torino,D(C),24(1),2011,2,-,3,-,0.7,81.6,2,-,6.78,1.2,2.1,1.7,0.3,2.4,0.8,0.4,-,0.2,0.5,1.4,0.1,0.3,0.7,46.5,0.3,4,-,Serie A,2020/2021
115,Francesco Caputo,Sassuolo,FW,19(6),1702,11,5,1,-,1.7,77.7,0.4,1,6.77,-,-,0.6,-,0.1,0.1,-,-,0.6,0.2,1.3,0.8,0.5,1.5,16.3,-,0.2,-,Serie A,2020/2021
116,Diego Demme,Napoli,DMC,20(4),1597,2,3,6,-,0.6,89.2,0.3,-,6.77,2.3,0.5,1.4,-,0.6,1.7,-,-,0.8,0.3,1.2,-,0.8,0.6,51.8,-,2.4,-,Serie A,2020/2021
117,Takehiro Tomiyasu,Bologna,D(CLR),31,2719,2,-,4,-,0.5,82.1,2.9,2,6.77,1.5,1.7,1,0.5,3.3,0.4,0.6,1,0.3,0.5,0.4,0.1,0.3,1,48.7,0.2,3,-,Serie A,2020/2021
118,Bram Nuytinck,Udinese,D(C),19(1),1643,1,-,1,-,0.2,84.2,1.9,-,6.77,1.1,1.3,0.4,0.1,3.6,0.4,0.9,-,0.2,0.2,0.3,-,0.1,0.4,41.2,0.1,2.4,-,Serie A,2020/2021
119,Davide Zappacosta,Genoa,M(LR),23(2),2034,4,2,3,-,1.6,83.6,0.6,-,6.77,1.3,0.7,0.9,-,1.5,0.6,-,-,0.5,1.3,0.8,0.3,0.9,1.7,32,0.6,0.8,-,Serie A,2020/2021
120,Tiemoué Bakayoko,Napoli,DMC,23(9),1973,2,1,4,1,0.5,88.3,1.4,1,6.76,2.2,1.1,1.1,-,0.3,0.5,0.1,-,0.4,0.8,1.6,-,0.6,0.8,38.2,-,1.4,-,Serie A,2020/2021
121,Stefan Radu,Lazio,D(CL),30(1),2466,-,3,2,-,0.2,85.3,1.4,1,6.75,1.4,1.5,0.6,0.2,2.3,0.5,0.5,-,0.6,0.4,0.7,-,0.2,0.5,49.4,0.6,3,-,Serie A,2020/2021
122,Aaron Ramsey,Juventus,M(CLR),13(9),1093,2,4,2,-,1.1,87.1,0.4,1,6.75,1,0.3,0.9,-,0.3,0.8,0.1,-,1.4,0.5,0.8,0.1,0.4,1.4,31.8,0.5,1.5,-,Serie A,2020/2021
123,Alessio Romagnoli,AC Milan,D(CL),21(1),1907,1,1,7,-,0.7,89.6,2.5,-,6.75,0.8,1.1,0.9,0.4,3.5,0.5,1,-,0.1,-,0.5,-,-,0.3,46.5,-,1.4,-,Serie A,2020/2021
124,Cristian Ansaldi,Torino,M(CLR),20(11),1941,1,6,1,-,0.6,75.4,0.2,2,6.74,1.5,0.5,0.8,0.2,1,0.5,0.2,-,1.2,0.9,0.7,-,0.5,0.8,20.5,1.6,2.1,-,Serie A,2020/2021
125,Gianluigi Buffon,Juventus,GK,8,720,-,-,-,-,-,82,-,-,6.74,-,-,-,-,0.8,-,-,-,-,-,0.1,-,-,-,32.6,-,4,-,Serie A,2020/2021
126,David Ospina,Napoli,GK,16,1440,-,1,2,-,-,81.4,0.5,2,6.74,-,-,0.1,-,0.8,-,-,-,0.1,-,0.3,-,-,-,30.9,-,5.9,-,Serie A,2020/2021
127,Radja Nainggolan,Cagliari,M(C),22,1848,1,-,5,-,2.2,80,0.8,-,6.74,1.9,0.7,1,-,0.7,0.7,-,-,1,1.3,1,-,1.5,1.5,34.3,0.8,3,-,Serie A,2020/2021
128,Gianluca Caprari,Benevento,FW,23(7),1880,5,6,3,1,1.6,80.6,0.1,2,6.74,0.5,0.6,0.8,-,0.2,0.8,-,-,1.2,1.7,1.8,0.3,1.7,2.4,19.7,0.8,0.8,-,Serie A,2020/2021
129,Yildirim Çetin,Verona,D(C),4(2),418,-,-,1,-,0.3,79.7,2.7,-,6.74,1.3,2.3,1,0.2,2.2,0.7,1,-,-,0.5,0.7,-,0.3,0.3,28.7,-,3.3,-,Serie A,2020/2021
130,Simy,Crotone,FW,31(7),2945,20,2,1,-,1.7,77.1,1.7,1,6.73,0.2,0.2,1.3,-,1.3,0.5,0.1,-,0.7,0.9,1.2,0.6,1.9,3.2,18.2,-,0.3,-,Serie A,2020/2021
131,José Luis Palomino,Atalanta,D(C),25(11),2423,1,2,3,-,0.1,82.8,1.6,1,6.73,1.9,2.2,1.3,0.3,1.5,0.7,0.4,-,0.3,0.1,0.4,0.1,0.1,0.4,42.1,-,2.5,-,Serie A,2020/2021
132,Hernani,Parma Calcio 1913,M(CL),27(6),2200,7,3,11,-,1,83.4,0.9,-,6.73,1.5,0.9,1.5,-,1.1,1.1,0.1,-,1.1,1.1,0.7,-,0.8,1.2,29.6,0.6,2.8,-,Serie A,2020/2021
133,Bartosz Bereszynski,Sampdoria,M(R),29(2),2607,1,-,2,-,0.1,82.2,0.9,-,6.72,2.1,1.4,0.9,0.3,2.2,1,0.6,-,0.3,0.6,0.9,-,0.5,0.9,39.1,0.2,1.3,-,Serie A,2020/2021
134,Diogo Dalot,AC Milan,M(R),10(11),1082,1,1,4,-,0.5,79.1,1,-,6.72,1.5,1.2,1.2,-,1.8,0.8,0.2,-,0.4,0.4,0.2,0.1,0.2,0.8,23.2,0.5,1.8,-,Serie A,2020/2021
135,Nahitan Nández,Cagliari,M(CLR),31(1),2741,2,2,8,1,1,77.7,1.3,5,6.72,1.8,0.7,1.3,0.1,1.5,1.3,0.1,-,1,1.2,1.8,0.3,0.9,1.6,30.9,0.8,1,-,Serie A,2020/2021
136,Riccardo Orsolini,Bologna,FW,21(13),1759,7,3,-,-,1.6,69.9,0.7,1,6.72,1.1,0.3,0.6,-,0.6,0.7,0.1,-,0.9,1.1,1.3,0.2,0.5,1.4,18.1,0.8,0.7,0.1,Serie A,2020/2021
137,Filip Djuricic,Sassuolo,FW,27(5),2099,5,4,5,-,1.7,78.9,0.4,-,6.72,1,0.3,1.6,-,0.4,0.6,0.1,-,1.7,1.1,1.2,0.2,1.5,1.7,27.4,0.1,0.4,-,Serie A,2020/2021
138,Wojciech Szczesny,Juventus,GK,30,2677,-,1,-,-,-,89.1,0.2,-,6.71,-,0.1,-,-,0.7,-,-,-,-,-,-,-,-,-,29.4,-,4.3,-,Serie A,2020/2021
139,Fabio Quagliarella,Sampdoria,FW,25(8),2215,13,1,1,-,2.5,71.1,1.1,1,6.71,0.4,0.2,0.8,-,0.3,0.5,-,-,0.6,0.5,1.1,0.5,1,1.8,15.2,0.1,0.6,-,Serie A,2020/2021
140,Ismaël Bennacer,AC Milan,DMC,17(4),1336,-,2,4,-,0.6,87.9,0.6,-,6.71,1.9,1,1,-,0.6,0.8,-,-,0.2,1.4,1.4,-,0.7,1,46,-,2.5,-,Serie A,2020/2021
141,Giacomo Bonaventura,Fiorentina,M(CLR),27(7),2267,3,2,5,-,1.3,82.3,0.9,2,6.71,1,1.1,1.1,-,0.3,1.1,0.1,-,0.7,1.2,1.2,0.2,0.9,1.1,26.8,0.3,1.4,-,Serie A,2020/2021
142,Merih Demiral,Juventus,D(C),10(5),937,-,1,1,-,0.4,94,1.5,-,6.71,0.8,1.4,0.7,0.2,2.6,0.5,0.6,-,0.3,0.1,0.1,0.1,0.1,0.2,41.3,-,1.3,-,Serie A,2020/2021
143,Lukasz Skorupski,Bologna,GK,28,2520,-,-,1,-,-,74.7,0.2,2,6.71,-,-,-,-,1.2,0.1,-,-,-,-,-,-,-,0.1,28.1,-,4.3,-,Serie A,2020/2021
144,Rodrigo Palacio,Bologna,FW,28(8),2508,5,5,5,-,1.5,79.4,1,2,6.71,0.4,0.2,1.1,-,0.8,0.4,-,-,1.1,1,2,1,1.3,2.4,24.6,0.3,0.6,-,Serie A,2020/2021
