,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
327,Emiliano Armenteros,Xerez,AM(CLR),16(9),1595,4,1,3,1,1.1,74.4,0.4,-,6.66,1.7,0.8,1.3,-,0.4,0.6,-,-,0.9,0.7,1.2,0.2,1.1,-,21.3,0.9,0.6,0.1,LaLiga,2009/2010
328,Sidi Keita,Xerez,M(CR),24,1856,-,-,7,2,1,75,1.4,-,6.66,2.8,1.6,2.7,-,1.3,1,0.3,-,0.2,0.6,1.1,-,1.3,-,32.7,-,2.3,-,LaLiga,2009/2010
329,Sergio Álvarez,Sporting Gijon,M(C),1,90,-,-,-,-,-,77.6,-,-,6.66,4,1,2,-,2,1,1,-,-,2,1,-,2,-,49,-,3,-,LaLiga,2009/2010
330,Adrián Colunga,Real Zaragoza,FW,7(9),845,7,-,2,1,1.6,66.3,0.1,-,6.66,0.3,0.7,0.6,-,-,0.1,-,-,0.4,0.6,0.7,1,1.4,-,10.6,0.3,0.3,0.1,LaLiga,2009/2010
331,Mané,Getafe,D(L),35,3063,1,-,10,-,0.3,78.9,0.2,-,6.66,1.9,1.6,1,0.2,2.1,0.7,0.1,-,0.7,0.3,0.7,-,0.7,-,50.4,0.4,2.4,-,LaLiga,2009/2010
332,Iván Hernández,Sporting Gijon,DMC,7(3),667,-,-,1,-,0.1,67.1,1.3,-,6.65,1.2,0.6,1.1,0.4,7.2,-,0.6,-,0.1,0.1,1,-,0.1,-,17,-,1.6,-,LaLiga,2009/2010
333,Juan Valera,Atletico,D(R),19(4),1616,-,3,2,-,0.5,76.3,1.1,-,6.65,1.6,1,1.1,0.3,3.1,0.3,0.3,-,0.6,0.3,0.8,-,0.7,-,26.6,0.4,1.3,-,LaLiga,2009/2010
334,Justo Villar,Real Valladolid,GK,23,2006,-,-,1,1,-,48.1,0.1,1,6.65,-,-,-,-,1.5,-,-,-,-,-,0.2,-,-,-,26,-,8.3,-,LaLiga,2009/2010
335,Maxi Rodríguez,Atletico,FW,9(5),765,2,-,2,-,1.6,80.9,0.4,-,6.65,1.1,0.8,1,-,0.4,0.5,-,-,0.8,0.9,1.1,0.1,0.6,-,23.1,0.3,0.6,0.2,LaLiga,2009/2010
336,Leandro Gioda,Xerez,D(CL),28(1),2516,2,1,5,1,0.6,63.4,1.6,2,6.65,1,1.7,1.3,0.6,7.9,0.2,1,1,0.1,0.1,0.3,-,0.1,-,23.3,-,2,-,LaLiga,2009/2010
337,Valdo,Malaga,FW,10(9),1080,2,1,5,-,1,64.3,1.7,-,6.65,1.3,1.4,1.4,-,1.2,0.3,0.1,-,0.5,0.5,0.8,0.1,1.3,-,18.3,0.3,0.5,0.1,LaLiga,2009/2010
338,Josetxo,Osasuna,DMC,18(1),1665,-,-,7,-,0.2,67.6,1.8,-,6.65,0.9,0.8,1.7,1.1,9.4,0.4,1,1,0.1,-,0.9,-,0.2,-,23.5,-,2.3,0.1,LaLiga,2009/2010
